"ID","state","state_abbr","reg_rule_abbr","reg_indicator","reg_x","n_id","n_rule","n_type","n_state","reg_type","reg_type_label","reg_rule","reg_rule_label","reg_action","reg_action_label","reg_body","reg_body_label","code_univ_cite","code_state","code_label","code_annotated","code_division","code_section","code_section1","code_section2","code_text","notes","code_year_enacted","code_change_year","code_change_type","section_original","v0","v1","section_code_re","section1","first_element","IDx","idn","id1","id2","id3","id4","type_body_combined","ALLSECTXT"
"AL-DISSOLV-JUDICI-AG-001","Alabama","AL","JD","Yes",1,1,2,4,42,"DISSOLV","Notice or Action for Dissolutions","JUDICI","Judicial Dissolutions","REQMNT","requirement","AG","Attorney General","AL Code § 10A-3-7.08 ;; INDEX.HTML","alabama","Code","no","10A-3-7-08","{SS}: 10A-3-7.08 ;; INDEX.HTML","{SS}: 10A-3-7.08","{SS}: INDEX.HTML","Section 10A-3-7.08Involuntary dissolution - Procedure; notification to Attorney General. The Secretary of State shall certify to the Attorney General, from time to time, the names of all nonprofit corporations which have given cause for dissolution as provided in this chapter, together with the facts pertinent thereto. Whenever the Secretary of State shall certify the name of a nonprofit corporation to the Attorney General as having given any cause for dissolution, the Secretary of State shall concurrently mail to the nonprofit corporation at its registered office a notice that the certification has been made. Upon the receipt of the certification, the Attorney General shall, no sooner than 30 days nor more than 90 days after the receipt, file an action in the name of the State of Alabama against the nonprofit corporation for its dissolution. If, before an action is filed, the nonprofit corporation shall appoint or maintain a registered agent as provided in this title, or shall file with the judge of probate the required statement of change of registered agent, the fact shall be forthwith certified by the Secretary of State to the Attorney General and he or she shall not file an action against the nonprofit corporation for the cause. If, after an action is filed, the nonprofit corporation shall appoint or maintain a registered agent as provided in this title, or shall file with the judge of probate the required statement of change of registered agent, and shall pay the costs of the action, the action for the cause shall abate. (Acts 1984, No. 84-290, p. 502, ss55; ss10-3A-147; amended and renumbered by Act 2009-513, p. 967, ss192.)","Ala. Code § 10A-3-7.08",,,,,,,,,,"AL-DISSOLV-JUDICI-AG",1,"11","11","id-al-011","id-11","Judicial Dissolutions - AG","10A-3-7-08 ;; {SS}: 10A-3-7.08 ;; {SS}: INDEX.HTML"
"AL-DISSOLV-JUDICI-OT-001","Alabama","AL","JD","Yes",1,1,2,4,42,"DISSOLV","Notice or Action for Dissolutions","JUDICI","Judicial Dissolutions","REQMNT","requirement","OT","Other","AL Code § 10A-3-7.16 ;; INDEX.HTML","alabama","Code","no","10A-3-7-16","{SS}: 10A-3-7.16 ;; INDEX.HTML","{SS}: 10A-3-7.16","{SS}: INDEX.HTML","Section 10A-3-7.16 Filing of order of dissolution. In case the court shall enter an order dissolving a nonprofit corporation, it shall be the duty of the court to cause a certified copy of the order to be filed with the judge of probate in the county in which the certificate of formation was filed and with the Secretary of State. No fee shall be charged by the judge of probate or the Secretary of State for the filing thereof. (Acts 1984, No. 84-290, p. 502, ss63; ss10-3A-155; amended and renumbered by Act 2009-513, p. 967, ss192.)","Probate court and Secretary of State § 10A-3-7.16",,,,,,,,,,"AL-DISSOLV-JUDICI-OT",1,"12","12","id-al-012","id-12","Judicial Dissolutions - Other","10A-3-7-16 ;; {SS}: 10A-3-7.16 ;; {SS}: INDEX.HTML"
"AL-DISSOLV-ADMINI-AG-000","Alabama","AL","AD",,0,0,0,4,42,"DISSOLV","Notice or Action for Dissolutions","ADMINI","Administrative Dissolutions","REQMNT","requirement","AG","Attorney General","",,"Code","no",,"","","",,,,,,,,,,,,"AL-DISSOLV-ADMINI-AG",0,"13","13","id-al-013","id-13","Administrative Dissolutions - AG",""
"AL-DISSOLV-ADMINI-OT-000","Alabama","AL","AD",,0,0,0,4,42,"DISSOLV","Notice or Action for Dissolutions","ADMINI","Administrative Dissolutions","REQMNT","requirement","OT","Other","",,"Code","no",,"","","",,,,,,,,,,,,"AL-DISSOLV-ADMINI-OT",0,"14","14","id-al-014","id-14","Administrative Dissolutions - Other",""
"AL-HOSPCON-STATUT-NS-001","Alabama","AL","HS","No",1,1,1,1,42,"HOSPCON","Notice, Oversight or Filing of Hospital Conversions","STATUT","Has Statute","REQMNT","requirement","NS","Not Specific","",,"Code","no",,"","","",,"No",,,,,,,,,,"AL-HOSPCON-STATUT-NS",1,"15","15","id-al-015","id-15","Has Statute",""
"AL-HOSPCON-OVERSI-AG-000","Alabama","AL","NO",,0,0,0,1,42,"HOSPCON","Notice, Oversight or Filing of Hospital Conversions","OVERSI","Requires Notice or Oversight","REQMNT","requirement","AG","Attorney General","",,"Code","no",,"","","",,,,,,,,,,,,"AL-HOSPCON-OVERSI-AG",0,"16","16","id-al-016","id-16","Requires Notice or Oversight by AG",""
"AL-HOSPCON-OVERSI-OT-000","Alabama","AL","NO",,0,0,0,1,42,"HOSPCON","Notice, Oversight or Filing of Hospital Conversions","OVERSI","Requires Notice or Oversight","REQMNT","requirement","OT","Other","",,"Code","no",,"","","",,,,,,,,,,,,"AL-HOSPCON-OVERSI-OT",0,"17","17","id-al-017","id-17","Requires Notice or Oversight by Other",""
"AL-HOSPCON-FILING-OT-000","Alabama","AL","RF",,0,0,0,1,42,"HOSPCON","Notice, Oversight or Filing of Hospital Conversions","FILING","Requires Filing","REQMNT","requirement","OT","Other","",,"Code","no",,"","","",,,,,,,,,,,,"AL-HOSPCON-FILING-OT",0,"18","18","id-al-018","id-18","Requires Filing - Other",""
"AL-AUDITFI-AUDITS-NS-001","Alabama","AL","RA","No",1,1,1,1,42,"AUDITFI","Audits","AUDITS","Requires Audit","REQMNT","requirement","NS","Not Specific","",,"Code","no",,"","","",,"No",,,,,,,,,,"AL-AUDITFI-AUDITS-NS",1,"19","19","id-al-019","id-19","Requires Audit",""
"AL-AUDITFI-THRESH-NS-000","Alabama","AL","AT",,0,0,0,1,42,"AUDITFI","Audits","THRESH","Audit Threshold","REQMNT","requirement","NS","Not Specific","",,"Code","no",,"","","",,,,,,,,,,,,"AL-AUDITFI-THRESH-NS",0,"20","20","id-al-020","id-20","Audit Threshold",""
"AL-REGILAW-REGIST-NS-001","Alabama","AL","RL","Yes",1,1,1,1,42,"REGILAW","Registration Law","REGIST","Registration Law","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-70",,"Code","no",,"{SS}: 13A-9-70","{SS}: 13A-9-70","",,"Ala.Code 1975 § 13A-9-70 - 13A-9-84",,,,,,,,,,"AL-REGILAW-REGIST-NS",1,"21","21","id-al-021","id-21","Registration Law","{SS}: 13A-9-70"
"AL-ORGTYPE-RELIGI-NS-001","Alabama","AL","RO","Yes",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","RELIGI","Religious Organizations","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-71(f)(2)",,"Code","no",,"{SS}: 13A-9-71(f)(2)","{SS}: 13A-9-71(f)(2)","",,"Ala. Code § 13A-9-71(f)(2)",,,,,,,,,,"AL-ORGTYPE-RELIGI-NS",1,"22","22","id-al-022","id-22","Religious Organizations","{SS}: 13A-9-71(f)(2)"
"AL-ORGTYPE-SMALLO-NS-001","Alabama","AL","SO","Yes",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","SMALLO","Small organizations","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-71(f)(7)",,"Code","no",,"{SS}: 13A-9-71(f)(7)","{SS}: 13A-9-71(f)(7)","",,"Ala. Code § 13A-9-71(f)(7) ($25k)",,,,,,,,,,"AL-ORGTYPE-SMALLO-NS",1,"23","23","id-al-023","id-23","Small organizations","{SS}: 13A-9-71(f)(7)"
"AL-ORGTYPE-EDUCAT-NS-001","Alabama","AL","EI","Yes",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","EDUCAT","Educational Institutions","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-71(f)(1)",,"Code","no",,"{SS}: 13A-9-71(f)(1)","{SS}: 13A-9-71(f)(1)","",,"Ala. Code § 13A-9-71(f)(1)",,,,,,,,,,"AL-ORGTYPE-EDUCAT-NS",1,"24","24","id-al-024","id-24","Educational Institutions","{SS}: 13A-9-71(f)(1)"
"AL-ORGTYPE-GOVMNT-NS-001","Alabama","AL","GO","No",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","GOVMNT","Governmental Organizations","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"AL-ORGTYPE-GOVMNT-NS",1,"25","25","id-al-025","id-25","Governmental Organizations",""
"AL-ORGTYPE-HOSPIT-NS-001","Alabama","AL","HO","No",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","HOSPIT","Hospitals","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"AL-ORGTYPE-HOSPIT-NS",1,"26","26","id-al-026","id-26","Hospitals",""
"AL-ORGTYPE-VETERA-NS-001","Alabama","AL","VO","Yes",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","VETERA","Veterans organizations","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-71(f)(9)",,"Code","no",,"{SS}: 13A-9-71(f)(9)","{SS}: 13A-9-71(f)(9)","",,"Ala. Code § 13A-9-71(f)(9)",,,,,,,,,,"AL-ORGTYPE-VETERA-NS",1,"27","27","id-al-027","id-27","Veterans organizations","{SS}: 13A-9-71(f)(9)"
"AL-ORGTYPE-FNDYES-NS-001","Alabama","AL","FD","No",1,2,2,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","FNDYES","Foundations","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-71(f)(1)",,"Code","no",,"{SS}: 13A-9-71(f)(1)","{SS}: 13A-9-71(f)(1)","",,"NO, but educational and health care foundations are exempt: Ala. Code § 13A-9-71(f)(1) amd 13A-9-71(f)(4)",,,,,,,,,,"AL-ORGTYPE-FNDYES-NS",1,"28","28","id-al-028","id-28","Foundations","{SS}: 13A-9-71(f)(1)"
"AL-ORGTYPE-FNDYES-NS-002","Alabama","AL","FD","No",1,2,2,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","FNDYES","Foundations","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-71(f)(4)",,"Code","no",,"{SS}: 13A-9-71(f)(4)","{SS}: 13A-9-71(f)(4)","",,"NO, but educational and health care foundations are exempt: Ala. Code § 13A-9-71(f)(1) amd 13A-9-71(f)(4)",,,,,,,,,,"AL-ORGTYPE-FNDYES-NS",2,"29","28","id-al-029","id-28","Foundations","{SS}: 13A-9-71(f)(4)"
"AL-ORGTYPE-FNDNOS-NS-001","Alabama","AL","FS","No",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","FNDNOS","Foundations that don't solicit contributions","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"AL-ORGTYPE-FNDNOS-NS",1,"30","29","id-al-030","id-29","Foundations that don't solicit contributions",""
"AL-ORGTYPE-CTRUST-NS-001","Alabama","AL","CT","No",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","CTRUST","Charitable Trusts","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"AL-ORGTYPE-CTRUST-NS",1,"31","30","id-al-031","id-30","Charitable Trusts",""
"AL-ORGTYPE-PTOEDU-NS-001","Alabama","AL","PT","No",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","PTOEDU","Parent-Teacher Organizations","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"AL-ORGTYPE-PTOEDU-NS",1,"32","31","id-al-032","id-31","Parent-Teacher Organizations",""
"AL-ORGTYPE-CONGRE-NS-001","Alabama","AL","RC","No",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","CONGRE","Reports to congress","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"NO",,,,,,,,,,"AL-ORGTYPE-CONGRE-NS",1,"33","32","id-al-033","id-32","Reports to congress",""
"AL-ORGTYPE-NONSOL-NS-001","Alabama","AL","NS","Yes",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","NONSOL","Non-soliciting","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-71(a)",,"Code","no",,"{SS}: 13A-9-71(a)","{SS}: 13A-9-71(a)","",,"Ala. Code § 13A-9-71(a), 13A-9-71(f)(7)",,,,,,,,,,"AL-ORGTYPE-NONSOL-NS",1,"34","33","id-al-034","id-33","Non-soliciting","{SS}: 13A-9-71(a)"
"AL-ORGTYPE-MEMFRA-NS-001","Alabama","AL","FM","Yes",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","MEMFRA","Fraternal/ Membership","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-71(f)(4)",,"Code","no",,"{SS}: 13A-9-71(f)(4)","{SS}: 13A-9-71(f)(4)","",,"Ala. Code § 13A-9-71(f)(4), 13A-9-71(f)(5)",,,,,,,,,,"AL-ORGTYPE-MEMFRA-NS",1,"35","34","id-al-035","id-34","Fraternal/ Membership","{SS}: 13A-9-71(f)(4)"
"AL-ORGTYPE-POLITI-NS-001","Alabama","AL","PO","Yes",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","POLITI","Political Orgs","EXMPTN","exemption","NS","Not Specific","AL Code § 13A-9-71(f)(3)",,"Code","no",,"{SS}: 13A-9-71(f)(3)","{SS}: 13A-9-71(f)(3)","",,"Ala. Code § 13A-9-71(f)(3)",,,,,,,,,,"AL-ORGTYPE-POLITI-NS",1,"36","35","id-al-036","id-35","Political Orgs","{SS}: 13A-9-71(f)(3)"
"AL-ORGTYPE-OTHTYP-NS-001","Alabama","AL","OT","Yes",1,1,1,16,42,"ORGTYPE","Exemptions from Registering for Specific Organization Types","OTHTYP","Other","EXMPTN","exemption","NS","Not Specific","",,"Code","no",,"","","",,"civic orgs (5), specific beneficiaries (6)",,,,,,,,,,"AL-ORGTYPE-OTHTYP-NS",1,"37","36","id-al-037","id-36","Other",""
"AL-REMEDYT-DISSOL-NS-001","Alabama","AL","DS","Yes",1,1,1,3,42,"REMEDYT","Defined remedies","DISSOL","Dissolution","REMEDY","remedy","NS","Not Specific","AL Code § 10A-3-7.07 ;; INDEX.HTML","alabama","Code","no","10A-3-7-07","{SS}: 10A-3-7.07 ;; INDEX.HTML","{SS}: 10A-3-7.07","{SS}: INDEX.HTML","Section 10A-3-7.07Involuntary dissolution - Grounds. A nonprofit corporation may be dissolved involuntarily by an order of the circuit court of the county in which the registered office of the nonprofit corporation is situated in an action filed by the Attorney General when it is established that: (1) The nonprofit corporation procured its certificate of formation through fraud; (2) The nonprofit corporation has continued to exceed or abuse the authority conferred upon it by law; (3) The nonprofit corporation has failed for 90 days to appoint and maintain a registered agent in Alabama; or (4) The nonprofit corporation has failed for 90 days after change of its registered agent to file in the office of the judge of probate a statement of the change. (Acts 1984, No. 84-290, p. 502, ss54; ss10-3A-146; amended and renumbered by Act 2009-513, p. 967, ss192.)","Ala. Code § 10A-3-7.07",,,,,,,,,,"AL-REMEDYT-DISSOL-NS",1,"38","37","id-al-038","id-37","Dissolution","10A-3-7-07 ;; {SS}: 10A-3-7.07 ;; {SS}: INDEX.HTML"
"AL-REMEDYT-BRDRMV-NS-001","Alabama","AL","RM","Yes",1,2,2,3,42,"REMEDYT","Defined remedies","BRDRMV","Removal of Board Members","REMEDY","remedy","NS","Not Specific","AL Code § 19-3B-706",,"Code","no",,"{SS}: 19-3B-706","{SS}: 19-3B-706","",,"Ala. Code § 19-3B-706; Ala. Code § 19-3B-110",,,,,,,,,,"AL-REMEDYT-BRDRMV-NS",1,"39","38","id-al-039","id-38","Removal of Board Members","{SS}: 19-3B-706"
"AL-REMEDYT-BRDRMV-NS-002","Alabama","AL","RM","Yes",1,2,2,3,42,"REMEDYT","Defined remedies","BRDRMV","Removal of Board Members","REMEDY","remedy","NS","Not Specific","AL Code § 19-3B-110",,"Code","no",,"{SS}: 19-3B-110","{SS}: 19-3B-110","",,"Ala. Code § 19-3B-706; Ala. Code § 19-3B-110",,,,,,,,,,"AL-REMEDYT-BRDRMV-NS",2,"40","38","id-al-040","id-38","Removal of Board Members","{SS}: 19-3B-110"
"AL-FNDRAZE-COMREG-NS-001","Alabama","AL","CF","Yes",1,1,1,7,42,"FNDRAZE","Oversight of professional fundraisers","COMREG","Does the state require registration by commercial fundraisers?","REQMNT","requirement","NS","Not Specific","AL Code § 13A-9-71",,"Code","no",,"{SS}: 13A-9-71","{SS}: 13A-9-71","",,"""No person shall act as a professional fund raiser or commercial co-venturer either before he or she registers with the Attorney General, or after the expiration or cancellation of his or her registration and prior to renewal thereof. Applications for registration and renewal shall be in writing, under oath, in the form prescribed by the Attorney General, and shall be accompanied by an annual fee in the amount of one hundred dollars ($100)."" Alabama Code § 13A-9-71 (h)",,,,,,,,,,"AL-FNDRAZE-COMREG-NS",1,"41","39","id-al-041","id-39","Does the state require registration by commercial fundraisers?","{SS}: 13A-9-71"
"AL-FNDRAZE-COUNSL-NS-001","Alabama","AL","FC","Yes",1,1,1,7,42,"FNDRAZE","Oversight of professional fundraisers","COUNSL","Does the state require registration by fundraising counsel?","REQMNT","requirement","NS","Not Specific","AL Code § 13A-9-71",,"Code","no",,"{SS}: 13A-9-71","{SS}: 13A-9-71","",,"""No person shall act as a professional solicitor in the employ of a professional fund raiser who is required to register pursuant to this section before he or she has registered with the Attorney General or after the expiration or cancellation of the registration or any renewal thereof. Application for registration shall be in writing, under oath, in the form prescribed by the Attorney General and shall be accompanied by a fee in the amount of twenty-five dollars ($25). Registration when effected shall be for a period of one year, or a part thereof, expiring with the 30th day of September and may be renewed upon written application, under oath, in the form prescribed by the Attorney General and the payment of the fee prescribed herein for additional one-year periods. Applications for registration, when filed with the Attorney General, shall become public records in the Office of the Attorney General."" Alabama Code § 13A-9-71 (j)",,,,,,,,,,"AL-FNDRAZE-COUNSL-NS",1,"42","40","id-al-042","id-40","Does the state require registration by fundraising counsel?","{SS}: 13A-9-71"
"AL-FNDRAZE-VENTUR-NS-001","Alabama","AL","CC","Yes",1,1,1,7,42,"FNDRAZE","Oversight of professional fundraisers","VENTUR","Does the state oversee commercial-coventuring (e.g. by requiring that the co-venture be registered or by requiring that the charitable organization files the co-venture contract)?","REQMNT","requirement","NS","Not Specific","AL Code § 13A-9-71",,"Code","no",,"{SS}: 13A-9-71","{SS}: 13A-9-71","",,"""No person shall act as a professional fund raiser or commercial co-venturer either before he or she registers with the Attorney General, or after the expiration or cancellation of his or her registration and prior to renewal thereof. Applications for registration and renewal shall be in writing, under oath, in the form prescribed by the Attorney General, and shall be accompanied by an annual fee in the amount of one hundred dollars ($100)."" Alabama Code § 13A-9-71 (h)",,,,,,,,,,"AL-FNDRAZE-VENTUR-NS",1,"43","41","id-al-043","id-41","Does the state oversee commercial-coventuring (e.g. by requiring that the co-venture be registered or by requiring that the charitable organization files the co-venture contract)?","{SS}: 13A-9-71"
"AL-FNDRAZE-NOTICE-NS-000","Alabama","AL","NT","No",0,0,0,7,42,"FNDRAZE","Oversight of professional fundraisers","NOTICE","Does the state require the fundraisers to provide notice to the regulator before any solicitation campaign (in addition to annual registration and/or filing the contract)?","REQMNT","requirement","NS","Not Specific","",,"Code","no",,"","","",,,,,,,,,,,,"AL-FNDRAZE-NOTICE-NS",0,"44","42","id-al-044","id-42","Does the state require the fundraisers to provide notice to the regulator before any solicitation campaign (in addition to annual registration and/or filing the contract)?",""
